项目id	指数类型	关键词	权重
740	ozhi	TA	0.64
740	oshi	TA	10.12
740	oshi	千与千寻	0.28
740	ozhi	妈妈	0.48
740	oshi	妈妈	69.88
740	ozhi	欢乐	0.12
740	oshi	欢乐	13.4
740	ozhi	小小	0.48
740	oshi	小小	20.48
740	ozhi	Mars	0.36
740	oshi	Mars	0.08
740	oshi	年华	31.64
740	ozhi	最新	0.64
740	oshi	最新	25.72
740	oshi	全开	0.08
740	oshi	蓝精灵	8.44
740	oshi	of	2.12
740	oshi	繁花	4.92
740	oshi	魔术	96.08
740	oshi	女人	30.72
740	oshi	No	6.4
740	ozhi	儿童	30.4
740	oshi	儿童	646.64
740	ozhi	金色	6.84
740	oshi	金色	342.16
740	oshi	精致	67.68
740	oshi	NO	15.84
740	ozhi	夹子	0.16
740	oshi	夹子	111.0
740	oshi	马戏团	0.44
740	oshi	威尔顿	0.36
740	oshi	包袱	0.0
740	oshi	男声	0.12
740	oshi	携手	10.52
740	oshi	居民	0.0
740	oshi	时装	0.64
740	oshi	电光	0.72
740	oshi	春天	18.84
740	oshi	科夫	2.04
740	oshi	飞扬	1.08
740	oshi	TOUR	0.24
740	ozhi	小伙伴	0.72
740	oshi	小伙伴	4.84
740	oshi	绝对	0.28
740	oshi	番茄	5.4
740	oshi	视听	0.24
740	oshi	捷克	0.48
740	ozhi	魅力	0.36
740	oshi	魅力	60.84
740	oshi	肖邦	0.0
740	oshi	孔子	0.96
740	ozhi	中国	0.68
740	oshi	中国	387.08
740	oshi	申花	0.24
740	ozhi	天空	0.24
740	oshi	天空	72.8
740	oshi	小镇	4.16
740	ozhi	流行	1.32
740	oshi	流行	21.4
740	oshi	to	19.8
740	ozhi	加菲猫	0.24
740	oshi	加菲猫	12.36
740	oshi	旋律	0.6
740	oshi	交响曲	0.24
740	oshi	挚爱	0.72
740	oshi	思念	10.08
740	oshi	歌手	1.92
740	ozhi	电话	13.56
740	oshi	电话	71.32
740	oshi	牛郎织女	0.12
740	oshi	爸爸	5.04
740	ozhi	宇宙	0.0
740	oshi	宇宙	6.32
740	oshi	原创	39.68
740	ozhi	测试	1.08
740	oshi	测试	54.28
740	oshi	想象	0.2
740	ozhi	开心	0.36
740	oshi	开心	17.28
740	ozhi	英国	0.48
740	oshi	英国	29.48
740	oshi	奇幻	0.16
740	oshi	巴西	9.08
740	ozhi	波特	0.12
740	oshi	盛夏	1.92
740	ozhi	意外	0.08
740	oshi	意外	0.16
740	oshi	环球	26.52
740	oshi	匈牙利	4.96
740	oshi	形状	12.4
740	ozhi	茶馆	0.24
740	oshi	茶馆	0.0
740	ozhi	芝麻街	0.0
740	oshi	芝麻街	1.44
740	oshi	佳人	12.36
740	oshi	海鸥	1.0
740	oshi	冒险	0.6
740	ozhi	出品	1.24
740	oshi	出品	10.04
740	oshi	袜子	158.4
740	ozhi	企鹅	0.0
740	oshi	企鹅	10.0
740	oshi	奇缘	0.6
740	oshi	云天	1.12
740	oshi	天津	0.24
740	oshi	惊慌	0.0
740	oshi	RAIN	0.12
740	oshi	长江	0.12
740	oshi	舞台剧	0.24
740	oshi	雅克	1.88
740	ozhi	时间	0.08
740	oshi	时间	6.8
740	ozhi	孩子	0.36
740	oshi	孩子	2.48
740	oshi	使者	0.72
740	oshi	长征	0.56
740	oshi	同居	0.0
740	oshi	北极熊	14.92
740	ozhi	宝贝	5.68
740	oshi	宝贝	21.12
740	oshi	纪念	5.16
740	ozhi	生日	0.72
740	oshi	生日	29.6
740	oshi	化妆	50.96
740	oshi	展示	12.6
740	oshi	历险记	0.12
740	oshi	周日	1.2
740	oshi	千寻	5.28
740	ozhi	圣诞	0.24
740	oshi	圣诞	18.28
740	oshi	亲爱	0.36
740	ozhi	梦想	0.16
740	oshi	梦想	35.44
740	oshi	奔驰	1.88
740	oshi	粉丝	0.24
740	ozhi	工厂	1.72
740	oshi	工厂	6.32
740	oshi	京津冀	0.36
740	oshi	经典音乐	0.04
740	oshi	Ray	0.36
740	oshi	祝福	2.4
740	ozhi	交流	15.6
740	oshi	交流	1.52
740	ozhi	More	4.0
740	oshi	More	135.52
740	oshi	皇家	4.92
740	oshi	高手	2.48
740	oshi	神秘	70.28
740	oshi	艺术	139.2
740	oshi	芬妮	0.28
740	oshi	武警	0.0
740	ozhi	私人	0.4
740	oshi	私人	16.08
740	oshi	天鹅	17.2
740	oshi	戏剧	0.0
740	oshi	教授	0.0
740	ozhi	小女孩	0.0
740	oshi	小女孩	12.76
740	ozhi	世纪	0.4
740	oshi	世纪	4.64
740	oshi	玛丽莲	0.24
740	oshi	IN	1.2
740	oshi	水木年华	0.72
740	oshi	蜈蚣	4.0
740	ozhi	超越	0.48
740	oshi	超越	6.8
740	oshi	本田	0.84
740	ozhi	新春	0.0
740	oshi	新春	27.76
740	oshi	原野	0.88
740	ozhi	美国	1.92
740	oshi	美国	98.96
740	ozhi	小号	0.24
740	oshi	小号	557.96
740	oshi	天之骄子	0.24
740	oshi	意大利	28.92
740	oshi	新星	0.16
740	oshi	百花	9.28
740	oshi	神话	0.12
740	oshi	小老虎	0.44
740	ozhi	乐器	0.0
740	oshi	乐器	1.48
740	oshi	作业	0.6
740	oshi	威尼斯	1.32
740	oshi	面子	12.6
740	oshi	女孩儿	0.36
740	oshi	牡丹亭	1.84
740	oshi	歌唱	1.56
740	ozhi	亲子	2.52
740	oshi	亲子	7.4
740	oshi	水生	0.0
740	oshi	雄风	0.44
740	ozhi	升级版	11.68
740	oshi	升级版	246.6
740	oshi	The	15.12
740	oshi	约定	1.68
740	oshi	爱情	67.16
740	oshi	比赛	0.72
740	ozhi	疯狂	1.2
740	oshi	疯狂	7.92
740	oshi	阿里巴巴	0.08
740	oshi	梦回	3.56
740	oshi	瑞士	27.2
740	oshi	飘香	22.32
740	oshi	大师	16.6
740	oshi	童年	17.8
740	oshi	顶级	108.44
740	oshi	解压	0.72
740	oshi	神奇	108.84
740	oshi	回忆	6.72
740	oshi	春之声	0.12
740	oshi	呐喊	0.12
740	ozhi	中文版	6.48
740	oshi	中文版	1.84
740	oshi	爱之	1.52
740	oshi	新加坡	2.48
740	oshi	童话	5.12
740	ozhi	清新	0.24
740	oshi	清新	513.44
740	oshi	四大	0.96
740	oshi	龙猫	2.8
740	oshi	艾丽	0.12
740	oshi	史密斯	0.92
740	oshi	马戏	0.52
740	ozhi	精品	0.48
740	oshi	精品	235.28
740	oshi	氧气	0.8
740	oshi	光影	2.16
740	oshi	万马奔腾	0.24
740	oshi	卡农	0.0
740	oshi	伊娃	0.56
740	oshi	碧水	0.56
740	ozhi	旅行	0.72
740	oshi	旅行	348.44
740	oshi	丝路	0.24
740	oshi	沃特	1.04
740	oshi	辉煌	0.52
740	ozhi	艾摩	0.0
740	oshi	合唱	0.04
740	oshi	国粹	0.12
740	oshi	一生一世	1.2
740	oshi	光洁	2.84
740	oshi	特别	3.52
740	oshi	绽放	16.96
740	oshi	青瓷	0.36
740	oshi	晚清	0.12
740	oshi	大卫	0.44
740	oshi	青蛙王子	1.32
740	oshi	完美	120.56
740	oshi	流金岁月	0.12
740	oshi	万象	0.36
740	oshi	幻想	4.32
740	ozhi	德国	0.52
740	oshi	德国	186.88
740	ozhi	记忆	2.4
740	oshi	记忆	29.16
740	oshi	东方	3.2
740	oshi	小蝌蚪	0.32
740	ozhi	泰迪熊	0.0
740	oshi	泰迪熊	2.04
740	oshi	三重奏	0.16
740	oshi	演唱会	8.08
740	ozhi	电影	0.0
740	oshi	电影	9.16
740	ozhi	奥斯卡	0.12
740	oshi	奥斯卡	1.6
740	oshi	争宠	0.24
740	oshi	小红帽	13.44
740	oshi	地球	1.12
740	oshi	奥地利	0.0
740	oshi	漫步	15.76
740	oshi	都市	27.68
740	oshi	马里	0.0
740	oshi	皇后	0.4
740	oshi	群星	0.48
740	ozhi	娱乐	0.28
740	oshi	娱乐	3.16
740	oshi	On	0.6
740	oshi	作品	0.8
740	ozhi	极速	0.24
740	oshi	极速	47.28
740	oshi	云达	0.12
740	oshi	拜访	0.12
740	oshi	传统	7.16
740	oshi	木偶	0.84
740	oshi	老爸	0.24
740	oshi	法国	33.8
740	oshi	俄罗斯	0.96
740	oshi	OR	0.6
740	oshi	厦门	0.0
740	ozhi	机智	1.16
740	oshi	机智	9.84
740	oshi	香水	83.0
740	oshi	凯旋	1.08
740	oshi	童真	0.28
740	oshi	龙袍	0.0
740	oshi	Fire	1.32
740	oshi	诠释	0.8
740	oshi	雪景	0.4
740	ozhi	Box	0.0
740	oshi	Box	1.96
740	oshi	好玩	3.68
740	ozhi	钻石	0.0
740	oshi	钻石	213.64
740	oshi	小王子	0.4
740	ozhi	Hello	0.12
740	oshi	Hello	29.76
740	oshi	科幻	0.0
740	oshi	灰姑娘	0.6
740	oshi	风雪	0.68
740	oshi	拉丁	1.68
740	ozhi	黑猫	1.64
740	oshi	黑猫	8.36
740	oshi	乐园	15.12
740	oshi	圆舞曲	4.04
740	oshi	篮球	6.08
740	oshi	同名	2.08
740	oshi	烦恼	0.64
740	oshi	斯特	2.52
740	oshi	间谍	0.32
740	oshi	牧羊	0.24
740	oshi	仙子	1.92
740	oshi	红旗	0.24
740	ozhi	情景	0.8
740	oshi	爱情故事	0.56
740	oshi	施特劳斯	0.48
740	oshi	聆听	5.4
740	ozhi	安娜	6.08
740	oshi	安娜	0.0
740	oshi	励志	0.0
740	ozhi	宝宝	10.24
740	oshi	宝宝	297.44
740	oshi	生日派对	38.32
740	ozhi	城堡	0.0
740	oshi	城堡	5.48
740	oshi	宝安	1.52
740	oshi	完全	3.6
740	ozhi	成长	0.48
740	oshi	成长	5.28
740	oshi	Man	0.24
740	oshi	梦想成真	0.24
740	oshi	睡美人	1.12
740	oshi	进化论	0.0
740	oshi	百变	19.0
740	oshi	状元	1.2
740	oshi	四川	0.0
740	oshi	北方	0.32
740	oshi	绿地	0.56
740	oshi	视觉	3.6
740	ozhi	草莓	0.32
740	oshi	草莓	42.4
740	oshi	团结	0.08
740	oshi	中秋	0.24
740	oshi	旅程	3.36
740	oshi	归来	2.76
740	oshi	梅花三弄	0.12
740	oshi	小品	0.24
740	ozhi	全新	0.84
740	oshi	全新	42.84
740	ozhi	世界杯	0.24
740	oshi	世界杯	35.24
740	oshi	深圳	0.08
740	oshi	华韵	0.48
740	oshi	我会	0.48
740	ozhi	蓝色	17.36
740	oshi	蓝色	2485.76
